balancing_authority,rank,date,fragility_z,fragility_01,daily_peak_mw,daily_max_ramp_mw,pct_hours_near_peak,daily_range_mw,daily_ramp_std,hours_observed
CISO,1,2025-07-31,15.599960350839979,1.0,34821.0,18067.0,0.16666666666666666,23002.0,5489.900133558832,24
CISO,2,2025-09-03,4.46179282277528,0.4094791519936356,42408.0,4682.0,0.16666666666666666,15707.0,1746.1630602469559,24
CISO,3,2025-09-04,3.5529677773840644,0.36129527119443083,42063.0,3822.0,0.16666666666666666,15541.0,1702.9967427441256,24
CISO,4,2025-08-07,3.4825518150309005,0.35756197362127073,39804.0,4815.0,0.125,14300.0,1738.200976834832,24
CISO,5,2025-08-23,3.43962152899178,0.3552859054212638,43028.0,3472.0,0.16666666666666666,16603.0,1594.146474981409,24
CISO,6,2025-08-30,3.2857694957873003,0.34712901310603406,38175.0,4481.0,0.16666666666666666,14306.0,1541.2220018731798,24
CISO,7,2025-08-22,3.250117986828654,0.3452388494637725,43860.0,3075.0,0.16666666666666666,16567.0,1687.7355933234965,24
CISO,8,2025-09-12,3.189635028502725,0.34203217765258215,31509.0,2854.0,0.4166666666666667,8027.0,1111.8397788533111,24
CISO,9,2025-08-29,3.189085464396845,0.3420030409870561,35843.0,3376.0,0.2916666666666667,10679.0,1352.7155772633857,24
CISO,10,2025-08-21,3.120548388026404,0.3383693577661698,40881.0,4180.0,0.125,15271.0,1812.1550686278542,24
PJM,1,2025-06-24,5.684254346389315,1.0,158646.0,8521.0,0.375,50900.0,5209.952060859032,24
PJM,2,2025-06-25,5.032246057011029,0.9356503412865731,154755.0,7931.0,0.375,48052.0,4947.794975864339,24
PJM,3,2025-07-29,4.978924977000105,0.9303878417803074,154380.0,8757.0,0.2916666666666667,53827.0,5085.816021729852,24
PJM,4,2025-06-23,4.595926829096709,0.8925880154484077,160560.0,8191.0,0.25,59080.0,4937.394304684155,24
PJM,5,2025-07-30,4.400434209324128,0.8732939611115301,151026.0,7791.0,0.3333333333333333,47284.0,4745.090927031546,24
PJM,6,2025-08-13,4.350281132957413,0.8683441262701603,140553.0,8532.0,0.3333333333333333,43733.0,4554.023696258832,24
PJM,7,2025-06-26,4.221042816255518,0.8555890099504051,145838.0,7512.0,0.375,43790.0,4644.587343021608,24
PJM,8,2025-08-12,4.21249642147414,0.854745527442021,146576.0,9183.0,0.20833333333333334,52582.0,4923.527065661805,24
PJM,9,2025-07-25,4.149230536325149,0.848501529959378,148888.0,8048.0,0.2916666666666667,49481.0,4816.0937835056475,24
PJM,10,2025-02-20,3.8150208482806947,0.8155168582692549,127359.0,6211.0,0.5833333333333334,14039.0,2353.564945929928,24
