cluster,mean,p90,p95,max,count
0,0.666,2.035,2.433,3.815,229
1,1.745,3.297,3.911,5.684,189
2,-1.591,-0.305,-0.066,0.46,313
3,15.6,15.6,15.6,15.6,1
