cluster,daily_peak_mw,daily_min_mw,daily_range_mw,daily_max_ramp_mw,daily_ramp_std,pct_hours_near_peak,z_daily_peak_mw,z_daily_max_ramp_mw,z_pct_hours_near_peak,fragility_z
0,63162.454,51353.755,11808.699,3924.166,1627.148,0.365,-0.406,-0.082,1.155,0.666
1,86349.878,60780.698,25569.18,5117.011,2630.649,0.204,1.38,0.768,-0.403,1.745
2,63748.144,49179.415,14568.728,3526.128,1619.667,0.18,-0.54,-0.452,-0.599,-1.591
3,34821.0,11819.0,23002.0,18067.0,5489.9,0.167,1.222,15.078,-0.7,15.6
